province,id,type,price,rooms,latitude,longitude,postal_code
Girona,105483470,Chalet,2200,4,"41,7731485","3,031364",17220
Girona,101575886,Piso,4500,3,"41,8437411","3,098664",17252
Girona,106800142,Duplex,900,3,"42,4344478","1,9257456",17520
Girona,106584342,Chalet,1800,4,"42,0576237","3,1592164",17130
Girona,106673795,Chalet,1550,5,"42,1861897","2,4733275",17800
Girona,40003762,Chalet,4000,3,"41,7978848","2,7717422",17411
Girona,104879975,Piso,2200,3,"41,7192765","2,9357428",17320
Girona,105984671,Piso,1500,5,"41,9806251","2,8201323",17002
Girona,105822380,Casa Rural,1975,3,"42,1215208","2,9731134",17465
Girona,98873424,Chalet,1750,3,"42,4282002","1,9241995",17520
Girona,101403820,Piso,1500,2,"41,9840361","2,823646",17001
Girona,101090511,Piso,800,2,"41,7110787","2,8903259",17310
Girona,106461772,Piso,800,2,"41,6764527","2,7884296",17300
Girona,102327459,Piso,1000,4,"42,4277072","1,928781",17520
Girona,103798269,Chalet,1500,4,"42,342135","3,204473",17489
Girona,106066826,Chalet,1450,4,"41,8030284","2,8450361",17455
Girona,102272787,Piso,750,2,"42,4351677","1,9286472",17520
Girona,106735573,Piso,685,2,"41,8471456","3,1090301",17251
Girona,102798604,Piso,950,2,"42,2414535","3,1241391",17486
Girona,102823917,Ático,2000,3,"41,8484715","3,1007761",17251
Girona,103396243,Piso,690,2,"41,9787332","3,1970916",17255
Girona,104973918,Piso,2700,4,"41,7823701","3,0301574",17220
Girona,106653300,Casa Rural,2500,3,"41,9740856","2,9923564",17121
Girona,106768950,Chalet,1200,3,"41,969805","3,1485732",17256
Girona,106746333,Casa Rural,6670,3,"42,0085826","3,1053095",17113
Girona,99385297,Piso,1400,2,"42,0254827","2,7004991",17199
Girona,106380651,Duplex,1800,3,"41,7831492","3,0294533",17220
Girona,105684630,Piso,1700,4,"41,9744149","2,8287609",17004
Girona,103398362,Estudio,795,0,"42,2491412","3,1257043",17486
Girona,103396305,Estudio,650,0,"42,2384281","3,1238846",17486
Girona,83952228,Piso,1500,4,"41,8521914","3,140092",17230
